time,q_actual_0,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,dq_actual_0,dq_actual_1,dq_actual_2,dq_actual_3,dq_actual_4,dq_actual_5,dq_actual_6,tau_actual_0,tau_actual_1,tau_actual_2,tau_actual_3,tau_actual_4,tau_actual_5,tau_actual_6,q_ref_0,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,dq_ref_0,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,tau_ref_0,tau_ref_1,tau_ref_2,tau_ref_3,tau_ref_4,tau_ref_5,tau_ref_6
0.000000,-0.005150,0.002861,-0.003624,-0.003624,-0.003624,0.000572,-0.001335,0.010989,-0.010989,-0.004884,-0.004884,-0.007326,0.007326,-0.007326,0.883516,-0.672527,0.635897,0.594872,0.148962,0.017094,0.036630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,-0.005150,0.002480,-0.003624,-0.003624,-0.004005,0.000572,-0.001335,-0.010989,-0.010989,-0.004884,-0.004884,-0.007326,0.007326,-0.007326,0.883516,-0.698901,0.540171,0.594872,0.153846,0.012210,0.021978,-0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,-0.005150,0.002861,-0.003624,-0.003624,-0.003624,0.000572,-0.001335,-0.010989,-0.010989,-0.004884,-0.004884,-0.007326,0.007326,-0.007326,0.883516,-0.698901,0.553846,0.649573,0.153846,0.002442,0.026862,-0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030000,-0.005150,0.002861,-0.003624,-0.003624,-0.004005,0.000572,-0.001335,-0.010989,0.010989,-0.004884,-0.004884,-0.007326,0.007326,-0.007326,0.883516,-0.698901,0.676923,0.567521,0.153846,0.021978,0.012210,-0.000900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040000,-0.005150,0.002480,-0.003624,-0.003624,-0.004005,0.000572,-0.001335,-0.010989,-0.010989,-0.004884,-0.004884,-0.007326,0.007326,-0.021978,0.883516,-0.698901,0.663248,0.567521,0.148962,0.017094,0.031746,-0.001600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,-0.005150,0.002480,-0.003624,-0.003624,-0.003624,0.000572,-0.001335,-0.010989,-0.010989,-0.004884,-0.004884,-0.007326,0.007326,-0.007326,0.883516,-0.698901,0.676923,0.635897,0.158730,0.021978,0.046398,-0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060000,-0.005150,0.002861,-0.003624,-0.003624,-0.004005,0.000572,-0.001335,-0.032967,-0.010989,-0.004884,-0.004884,-0.007326,0.007326,-0.007326,0.883516,-0.698901,0.622222,0.663248,0.153846,0.021978,0.026862,-0.003500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070000,-0.005150,0.002480,-0.003624,-0.003624,-0.003624,0.000572,-0.001335,-0.010989,0.010989,-0.004884,-0.004884,-0.007326,0.007326,-0.007326,0.883516,-0.698901,0.704274,0.567521,0.153846,0.012210,0.021978,-0.004500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080000,-0.005150,0.002480,-0.003624,-0.003624,-0.003624,0.000572,-0.001335,0.010989,0.010989,-0.004884,-0.004884,-0.007326,0.007326,-0.007326,0.883516,-0.698901,0.704274,0.622222,0.153846,0.012210,0.026862,-0.005500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.090000,-0.005150,0.002480,-0.003624,-0.003624,-0.004005,0.000572,-0.001335,-0.010989,-0.032967,-0.004884,-0.004884,-0.021978,0.007326,-0.007326,0.883516,-0.698901,0.649573,0.567521,0.158730,0.012210,0.026862,-0.006500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
