time,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,qdd0,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.16,-1.49985084265579,0.150328537854496,7.39392308343258e-05,9.64556927558948e-05,-1.72486511754108,-0.000143101712487622,-0.000325897468202589,0.00361049315517641,0.00617250388139432,0.00141695129060565,0.00197775736395556,0.00344876439405971,-0.00250007465558348,-0.00596606125820963,0.0652123502093827,0.0771557793263253,0.0184428812193466,0.0288006442462503,0.0657619581573082,-0.0265217118615849,-0.0706612000295811,0,0,0,0,0,0,0
0.17,-1.49981134629234,0.150394199268611,8.90522491752408e-05,0.000117715501835139,-1.72482720261097,-0.000169440154618351,-0.000389150478857667,0.00430203787512419,0.00696762153994914,0.00160779369555023,0.00227845551775251,0.00414833773121379,-0.00276872243902645,-0.00669042226167546,0.0731672234755201,0.0818612624188039,0.0197276611155032,0.0313512319376202,0.0742314628331723,-0.0271868957660273,-0.0741899756135712,0,0,0,0,0,0,0
0.18,-1.49976452970807,0.150468046465502,0.00010613813395302,0.000142111033324205,-1.72478186063688,-0.000198496234746244,-0.00045982142153188,0.00507523698419747,0.00780959174517405,0.00181154464204194,0.00260502168420973,0.00493495270346467,-0.00304339194751416,-0.00744943456092336,0.08154189014162,0.0865255308717307,0.0210244791492154,0.0339737211299408,0.0831686671810568,-0.0277258976832074,-0.0775908927210839,0,0,0,0,0,0,0
0.19,-1.49970955550503,0.150550545834225,0.000125326561377219,0.000169904509494962,-1.72472819798128,-0.000230323845733783,-0.00053825036016521,0.00593424756071559,0.00869797965608729,0.00202832117014404,0.00295815896310878,0.0058132369650767,-0.00332281683767776,-0.00824180279838696,0.0903281074363181,0.0911440498152219,0.0223326640715906,0.0366649143139936,0.0925636227832726,-0.0281378381676657,-0.0808606190124033,0,0,0,0,0,0,0
0.2,-1.49964554513372,0.150642159189099,0.000146748344197731,0.000201365022309661,-1.72466527523548,-0.000264964175567907,-0.000624764240740065,0.0068831421191381,0.00963230521142637,0.00225823351815192,0.00333853805097675,0.00678771630518282,-0.00360572273129929,-0.00906619896495639,0.0995172066640273,0.0957123107619995,0.0236515268098765,0.0394215289256199,0.102405906730514,-0.0284219898889168,-0.0839959570376746,0,0,0,0,0,0,0
0.21,-1.49957157975995,0.150743343318902,0.000170535362799132,0.000236768205193721,-1.7245921082618,-0.000302445634635901,-0.000719676571561855,0.0079259043906542,0.0106120434144051,0.00250138494533907,0.00374679640800395,0.00786280995459983,-0.00389082874201143,-0.00992126376422829,0.109100101239163,0.100225835789599,0.0249803606670607,0.0422402008531678,0.112684632043088,-0.0285777787147737,-0.0869938472848579,0,0,0,0,0,0,0
0.22,-1.49948670117339,0.150854549539109,0.000196820494532844,0.000276395896654446,-1.72450766928222,-0.000342783798319932,-0.000823287117331943,0.00906642518613901,0.0116366246591663,0.00275787155677962,0.00418353746045011,0.00904282599908877,-0.00417684901202772,-0.0108056080065607,0.119067295124104,0.104680181696639,0.0263184415375697,0.0451174880270969,0.123388458537119,-0.0286047846338799,-0.0898513710922406,0,0,0,0,0,0,0
0.23,-1.49938991273713,0.150976223247606,0.000225737541308458,0.000320535796104651,-1.72441088801228,-0.000385981365002275,-0.000935881607304659,0.0103084983454762,0.0127054350986514,0.00302778213040857,0.00464932983934222,0.0103319569034583,-0.00446249425728908,-0.0117178140315639,0.129408891662969,0.109070944129245,0.0276650281391653,0.0480498740880838,0.134505604125019,-0.0285027425162845,-0.0925657534226782,0,0,0,0,0,0,0
0.24,-1.49928018037726,0.151108803484288,0.000257421155467609,0.000369481112257986,-1.7243006528392,-0.000432028129557196,-0.00105773145780554,0.0116558167771621,0.0138178170535686,0.00331119794648254,0.00514470665623024,0.0117342751507979,-0.00474647331940215,-0.0126564371576307,0.140114602802897,0.113393761673735,0.0290193622611192,0.0510337721299001,0.146023856539126,-0.0282715427110594,-0.0951343654968699,0,0,0,0,0,0,0
0.25,-1.49915643361158,0.151252722494955,0.000292006763965077,0.00042353020447003,-1.724175812043,-0.00048090097238958,-0.00118909350937407,0.0131119685920242,0.0149730694621029,0.00360819261960372,0.00567016481672977,0.0132537290010151,-0.00502749472273547,-0.0136200071570849,0.15117375869416,0.117644319911729,0.0303806690287364,0.0540655285132572,0.157930585466988,-0.0279112314801247,-0.0975547272831115,0,0,0,0,0,0,0
