0.000000,-1.451324,0.139429,0.003624,-0.021553,-1.717212,-0.010872,-0.003243,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,-9.586813,2.281319,-0.635897,4.218803,-0.373626,0.510379,0.139194,-1.500002,0.150026,-0.000017,0.000074,-1.724844,-0.000092,0.000107,-0.000909,0.000174,-0.000178,0.000023,-0.000091,-0.000014,-0.000030,-0.000032,-0.000064,0.000208,-0.000149,-0.000224,0.000039,-0.000250
0.010000,-1.451324,0.139429,0.003624,-0.021553,-1.717212,-0.010872,-0.003243,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,-9.586813,2.254945,-0.649573,4.177778,-0.354090,0.515263,0.129426,-1.500011,0.150028,-0.000019,0.000074,-1.724845,-0.000092,0.000107,-0.000856,0.000229,-0.000208,0.000092,-0.000125,-0.000015,0.000066,0.010567,0.010964,-0.006173,0.013983,-0.006398,-0.000206,0.019394
0.020000,-1.451324,0.139429,0.003624,-0.021553,-1.717212,-0.010872,-0.003243,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,-9.586813,2.281319,-0.622222,4.191453,-0.354090,0.510379,0.109890,-1.500019,0.150031,-0.000022,0.000076,-1.724847,-0.000092,0.000109,-0.000695,0.000394,-0.000301,0.000304,-0.000217,-0.000018,0.000358,0.021818,0.022044,-0.012382,0.028408,-0.011905,-0.000399,0.038860
0.030000,-1.451324,0.139429,0.003624,-0.021553,-1.717212,-0.010872,-0.003243,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,-9.586813,2.254945,-0.622222,4.191453,-0.368742,0.515263,0.144078,-1.500024,0.150036,-0.000025,0.000081,-1.724850,-0.000092,0.000114,-0.000418,0.000670,-0.000455,0.000661,-0.000361,-0.000023,0.000843,0.033704,0.033169,-0.018415,0.043106,-0.016743,-0.000538,0.058134
0.040000,-1.451324,0.139429,0.003624,-0.021553,-1.717212,-0.010872,-0.003243,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,-9.586813,2.281319,-0.622222,4.191453,-0.358974,0.510379,0.144078,-1.500027,0.150044,-0.000031,0.000090,-1.724854,-0.000093,0.000126,-0.000019,0.001057,-0.000669,0.001167,-0.000550,-0.000029,0.001520,0.046208,0.044332,-0.024268,0.058059,-0.020909,-0.000620,0.077199
0.050000,-1.451324,0.139429,0.003624,-0.021553,-1.717212,-0.010872,-0.003243,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,-9.586813,2.281319,-0.663248,4.150427,-0.373626,0.510379,0.134310,-1.500024,0.150057,-0.000039,0.000105,-1.724861,-0.000093,0.000145,0.000508,0.001557,-0.000940,0.001823,-0.000777,-0.000035,0.002386,0.059311,0.055527,-0.029940,0.073245,-0.024400,-0.000646,0.096042
0.060000,-1.451324,0.139429,0.003624,-0.021553,-1.717212,-0.010872,-0.003243,0.010989,0.010989,0.004884,0.004884,0.007326,-0.007326,-0.007326,-9.586813,2.281319,-0.622222,4.123077,-0.373626,0.515263,0.148962,-1.500016,0.150076,-0.000050,0.000127,-1.724870,-0.000093,0.000174,0.001169,0.002168,-0.001267,0.002632,-0.001036,-0.000042,0.003440,0.072994,0.066746,-0.035427,0.088644,-0.027217,-0.000614,0.114646
0.070000,-1.451324,0.139429,0.003624,-0.021553,-1.717212,-0.010872,-0.003243,0.010989,0.010989,0.004884,-0.004884,0.007326,-0.007326,-0.007326,-9.586813,2.254945,-0.663248,4.164103,-0.358974,0.510379,0.139194,-1.500001,0.150101,-0.000064,0.000158,-1.724881,-0.000094,0.000215,0.001970,0.002892,-0.001648,0.003596,-0.001319,-0.000047,0.004678,0.087237,0.077982,-0.040727,0.104235,-0.029357,-0.000522,0.132999
0.080000,-1.451324,0.139429,0.003624,-0.021553,-1.717212,-0.010872,-0.003243,0.010989,0.010989,0.004884,-0.004884,-0.007326,-0.007326,-0.007326,-9.586813,2.254945,-0.635897,4.150427,-0.349206,0.510379,0.119658,-1.499976,0.150134,-0.000083,0.000199,-1.724896,-0.000094,0.000269,0.002916,0.003728,-0.002081,0.004718,-0.001621,-0.000052,0.006099,0.102022,0.089230,-0.045838,0.119997,-0.030822,-0.000369,0.151086
0.090000,-1.451324,0.139429,0.003624,-0.021553,-1.717212,-0.010872,-0.003243,0.010989,-0.010989,0.004884,-0.004884,-0.007326,-0.007326,-0.007326,-9.586813,2.307692,-0.608547,4.205128,-0.339438,0.515263,0.144078,-1.499942,0.150176,-0.000106,0.000253,-1.724914,-0.000095,0.000337,0.004012,0.004676,-0.002564,0.005997,-0.001933,-0.000054,0.007699,0.117326,0.100481,-0.050757,0.135909,-0.031612,-0.000154,0.168895
