0.000000,-1.399418,0.134390,-0.000417,-0.040944,-1.724313,-0.009894,-0.000108,0.002530,-0.000673,-0.000001,-0.000068,-0.000001,0.000004,-0.000006,-10.062774,1.562183,0.020860,4.094698,-0.006867,0.494717,0.005381,-1.500000,0.150000,0.000000,-0.000000,-1.725000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.010000,-1.399418,0.134390,-0.000417,-0.040944,-1.724313,-0.009894,-0.000108,0.002530,-0.000673,-0.000001,-0.000068,-0.000001,0.000004,-0.000006,-10.062774,1.562183,0.020860,4.094698,-0.006867,0.494717,0.005381,-1.500000,0.150000,0.000001,0.000000,-1.725000,0.000000,-0.000000,-0.000289,0.000118,0.000325,0.000117,-0.000043,0.000019,-0.000129,-0.057748,0.023771,0.065044,0.023442,-0.008415,0.003852,-0.025773
0.020000,-1.399398,0.134385,-0.000417,-0.040945,-1.724313,-0.009894,-0.000108,0.002473,-0.000671,-0.000001,-0.000055,-0.000001,0.000006,-0.000005,-10.064668,1.562717,0.020860,4.094699,-0.006867,0.494713,0.005383,-1.500000,0.150000,0.000009,0.000003,-1.725000,0.000001,-0.000003,-0.001154,0.000478,0.001301,0.000470,-0.000166,0.000078,-0.000515,-0.115160,0.048445,0.130080,0.047244,-0.016172,0.007889,-0.051519
0.030000,-1.399391,0.134383,-0.000417,-0.040945,-1.724313,-0.009894,-0.000108,0.002452,-0.000671,0.000010,-0.000048,-0.000005,0.000006,-0.000011,-10.065136,1.562850,0.020860,4.094698,-0.006867,0.494712,0.005383,-1.500000,0.150010,0.000029,0.000011,-1.725000,0.000002,-0.000012,-0.002591,0.001090,0.002926,0.001063,-0.000364,0.000177,-0.001159,-0.172160,0.073996,0.195030,0.071383,-0.023265,0.012107,-0.077209
0.040000,-1.399381,0.134380,-0.000417,-0.040945,-1.724313,-0.009894,-0.000108,0.002424,-0.000669,0.000095,-0.000023,-0.000024,0.000004,-0.000046,-10.068600,1.564139,0.021545,4.096854,-0.006945,0.494814,0.004713,-1.500100,0.150030,0.000069,0.000025,-1.725000,0.000004,-0.000027,-0.004596,0.001961,0.005201,0.001899,-0.000629,0.000320,-0.002059,-0.228710,0.100390,0.259840,0.095837,-0.029689,0.016501,-0.102820
0.050000,-1.399357,0.134374,-0.000410,-0.040944,-1.724314,-0.009894,-0.000110,0.002349,-0.000659,0.001086,0.000184,-0.000152,-0.000004,-0.000364,-10.073511,1.566943,0.022554,4.099253,-0.006977,0.494988,0.004004,-1.500100,0.150050,0.000135,0.000049,-1.725000,0.000008,-0.000054,-0.007163,0.003100,0.008122,0.002981,-0.000955,0.000508,-0.003215,-0.284750,0.127610,0.324430,0.120580,-0.035443,0.021064,-0.128320
0.060000,-1.399352,0.134372,-0.000408,-0.040944,-1.724315,-0.009894,-0.000111,0.002330,-0.000657,0.001178,0.000212,-0.000158,-0.000001,-0.000391,-10.073948,1.567072,0.022423,4.099073,-0.006967,0.494988,0.004086,-1.500200,0.150090,0.000234,0.000086,-1.725000,0.000015,-0.000093,-0.010289,0.004516,0.011689,0.004311,-0.001336,0.000742,-0.004625,-0.340210,0.155610,0.388740,0.145600,-0.040522,0.025790,-0.153680
0.070000,-1.399341,0.134369,-0.000399,-0.040942,-1.724316,-0.009894,-0.000114,0.002218,-0.000646,0.002502,0.000364,-0.000276,-0.000024,-0.000759,-10.094279,1.575470,0.028191,4.110047,-0.007215,0.495659,0.000299,-1.500300,0.150140,0.000371,0.000136,-1.725000,0.000023,-0.000147,-0.013965,0.006215,0.015896,0.005894,-0.001764,0.001024,-0.006288,-0.395040,0.184360,0.452720,0.170870,-0.044926,0.030673,-0.178880
0.080000,-1.399322,0.134363,-0.000351,-0.040936,-1.724320,-0.009895,-0.000127,0.001972,-0.000611,0.007328,0.001002,-0.000564,-0.000041,-0.001950,-10.112011,1.582802,0.030974,4.116062,-0.007210,0.496253,-0.001327,-1.500500,0.150210,0.000554,0.000204,-1.725100,0.000035,-0.000219,-0.018187,0.008206,0.020742,0.007730,-0.002232,0.001356,-0.008202,-0.449180,0.213830,0.516280,0.196360,-0.048653,0.035707,-0.203890
0.090000,-1.399320,0.134363,-0.000343,-0.040935,-1.724320,-0.009895,-0.000129,0.001942,-0.000609,0.007575,0.001054,-0.000568,-0.000035,-0.002011,-10.112152,1.582858,0.030539,4.115708,-0.007196,0.496253,-0.001133,-1.500700,0.150310,0.000788,0.000292,-1.725100,0.000051,-0.000312,-0.022946,0.010494,0.026220,0.009821,-0.002734,0.001739,-0.010365,-0.502580,0.243990,0.579360,0.222050,-0.051703,0.040883,-0.228680
0.100000,-1.399308,0.134359,-0.000267,-0.040924,-1.724327,-0.009895,-0.000149,0.001607,-0.000562,0.014386,0.001849,-0.001394,-0.000047,-0.003616,-10.158632,1.602542,0.045013,4.138507,-0.008445,0.497903,-0.009443,-1.500900,0.150420,0.001081,0.000402,-1.725100,0.000070,-0.000427,-0.028236,0.013088,0.032327,0.012171,-0.003264,0.002174,-0.012775,-0.555180,0.274810,0.641900,0.247920,-0.054077,0.046195,-0.253230
0.110000,-1.399297,0.134354,-0.000090,-0.040902,-1.724343,-0.009895,-0.000192,0.001000,-0.000500,0.023235,0.003092,-0.001976,0.000027,-0.005670,-10.188332,1.617470,0.048298,4.148687,-0.008041,0.499054,-0.012000,-1.501300,0.150570,0.001437,0.000536,-1.725200,0.000094,-0.000568,-0.034047,0.015992,0.039056,0.014780,-0.003814,0.002663,-0.015429,-0.606930,0.306230,0.703840,0.273950,-0.055777,0.051634,-0.277510
0.120000,-1.399297,0.134354,-0.000090,-0.040902,-1.724343,-0.009895,-0.000192,0.001000,-0.000500,0.023235,0.003092,-0.001976,0.000027,-0.005670,-10.188332,1.617470,0.048298,4.148687,-0.008041,0.499054,-0.012000,-1.501600,0.150750,0.001864,0.000698,-1.725200,0.000124,-0.000737,-0.040371,0.019214,0.046402,0.017650,-0.004377,0.003207,-0.018324,-0.657770,0.338240,0.765110,0.300100,-0.056805,0.057193,-0.301500
