time,q0,q1,q2,q3,q4,q5,q6,qd0,qd1,qd2,qd3,qd4,qd5,qd6,qdd0,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,tau0,tau1,tau2,tau3,tau4,tau5,tau6
0.160000,-1.399307,0.134345,0.001003,-0.040752,-1.724421,-0.009889,-0.000457,-0.001298,0.000132,0.066697,0.009272,-0.003947,0.000649,-0.013788,-0.128174,-0.014183,1.317708,0.152739,-0.052921,-0.003852,-0.370395,-10.415690,1.727066,0.100781,4.240533,-0.009628,0.507164,-0.048583
0.170000,-1.399328,0.134345,0.001546,-0.040676,-1.724454,-0.009884,-0.000588,-0.002819,-0.000044,0.080516,0.010816,-0.004489,0.000585,-0.017901,-0.182624,-0.019918,1.440466,0.154210,-0.055490,-0.008980,-0.456194,-10.485014,1.763443,0.114922,4.269127,-0.010024,0.510085,-0.057740
0.180000,-1.399328,0.134345,0.001546,-0.040676,-1.724454,-0.009884,-0.000588,-0.004951,-0.000267,0.095506,0.012356,-0.005057,0.000470,-0.022912,-0.250758,-0.022563,1.550680,0.152136,-0.057780,-0.013835,-0.548557,-10.561065,1.804884,0.130045,4.301553,-0.010430,0.513482,-0.066859
0.190000,-1.399385,0.134346,0.002498,-0.040542,-1.724509,-0.009875,-0.000823,-0.007834,-0.000496,0.111530,0.013858,-0.005645,0.000309,-0.028873,-0.333166,-0.020351,1.646256,0.147007,-0.059606,-0.017861,-0.644643,-10.643574,1.851643,0.146075,4.338174,-0.010843,0.517391,-0.075660
0.200000,-1.399451,0.134348,0.003218,-0.040454,-1.724547,-0.009870,-0.001000,-0.011614,-0.000674,0.128431,0.015296,-0.006249,0.000113,-0.035805,-0.429885,-0.011401,1.726265,0.139708,-0.060692,-0.020497,-0.741174,-10.732177,1.903920,0.162943,4.379350,-0.011256,0.521839,-0.083862
0.210000,-1.399451,0.134348,0.003218,-0.040454,-1.724547,-0.009870,-0.001000,-0.016432,-0.000724,0.146055,0.016653,-0.006859,-0.000101,-0.043696,-0.540349,0.006164,1.791247,0.131538,-0.060674,-0.021243,-0.834708,-10.826424,1.961849,0.180586,4.425418,-0.011666,0.526850,-0.091209
0.220000,-1.399640,0.134355,0.004684,-0.040294,-1.724618,-0.009866,-0.001435,-0.022421,-0.000550,0.164256,0.017927,-0.007462,-0.000312,-0.052499,-0.663369,0.034098,1.843430,0.124215,-0.059123,-0.019717,-0.921962,-10.925803,2.025491,0.198951,4.476673,-0.012067,0.532438,-0.097477
0.230000,-1.399784,0.134360,0.005567,-0.040207,-1.724656,-0.009866,-0.001717,-0.029699,-0.000042,0.182923,0.019137,-0.008041,-0.000496,-0.062135,-0.797154,0.073907,1.886826,0.119841,-0.055586,-0.015708,-1.000151,-11.029760,2.094832,0.217993,4.533339,-0.012457,0.538609,-0.102493
0.240000,-1.399852,0.134362,0.005941,-0.040170,-1.724671,-0.009866,-0.001839,-0.038364,0.000928,0.201993,0.020324,-0.008574,-0.000626,-0.072502,-0.939368,0.126741,1.927173,0.120850,-0.049630,-0.009221,-1.067286,-11.137730,2.169780,0.237680,4.595554,-0.012834,0.545366,-0.106145
0.250000,-1.400244,0.134386,0.007870,-0.039988,-1.724748,-0.009870,-0.002610,-0.048486,0.002493,0.221467,0.021554,-0.009034,-0.000680,-0.083481,-1.087229,0.193298,1.971676,0.129909,-0.040901,-0.000500,-1.122418,-11.249163,2.250173,0.257987,4.663340,-0.013200,0.552708,-0.108386
0.260000,-1.400472,0.134401,0.008838,-0.039898,-1.724783,-0.009871,-0.002972,-0.060108,0.004794,0.241426,0.022922,-0.009392,-0.000636,-0.094950,-1.237636,0.273772,2.028572,0.149794,-0.029191,0.009969,-1.165777,-11.363558,2.335788,0.278895,4.736587,-0.013557,0.560632,-0.109236
0.270000,-1.400734,0.134422,0.009851,-0.039801,-1.724817,-0.009873,-0.003370,-0.073239,0.007969,0.262038,0.024550,-0.009618,-0.000481,-0.106797,-1.387341,0.367832,2.106502,0.183217,-0.014491,0.021491,-1.198787,-11.480486,2.426349,0.300383,4.815044,-0.013911,0.569140,-0.108776
0.280000,-1.401473,0.134519,0.012459,-0.039552,-1.724901,-0.009880,-0.004588,-0.087855,0.012150,0.283556,0.026586,-0.009682,-0.000207,-0.118926,-1.533128,0.474646,2.213754,0.232636,0.002954,0.033214,-1.223958,-11.599612,2.521539,0.322425,4.898300,-0.014270,0.578238,-0.107145
0.290000,-1.401769,0.134563,0.013384,-0.039459,-1.724927,-0.009882,-0.004964,-0.103902,0.017462,0.306313,0.029202,-0.009559,0.000184,-0.131276,-1.672020,0.592937,2.357421,0.300038,0.022615,0.044212,-1.244646,-11.720710,2.621018,0.344982,4.985795,-0.014646,0.587941,-0.104523
0.300000,-1.402205,0.134637,0.014656,-0.039325,-1.724962,-0.009883,-0.005514,-0.121296,0.024009,0.330705,0.032587,-0.009229,0.000678,-0.143819,-1.801478,0.721089,2.542551,0.386729,0.043675,0.053589,-1.264710,-11.843666,2.724428,0.367994,5.076820,-0.015051,0.598272,-0.101113
0.310000,-1.403517,0.134929,0.018187,-0.038935,-1.725049,-0.009884,-0.007236,-0.139931,0.031883,0.357164,0.036937,-0.008685,0.001255,-0.156570,-1.919591,0.857259,2.771372,0.493142,0.065052,0.060598,-1.288091,-11.968472,2.831409,0.391375,5.170540,-0.015499,0.609266,-0.097134
0.320000,-1.403821,0.135003,0.018937,-0.038847,-1.725064,-0.009883,-0.007554,-0.159688,0.041154,0.386132,0.042450,-0.007928,0.001890,-0.169581,-2.025234,0.999516,3.042675,0.618691,0.085466,0.064764,-1.318344,-12.095209,2.941596,0.415006,5.266019,-0.016002,0.620965,-0.092796
0.330000,-1.404646,0.135225,0.020908,-0.038611,-1.725104,-0.009879,-0.008471,-0.180436,0.051874,0.418018,0.049311,-0.006976,0.002551,-0.182937,-2.118186,1.145971,3.351418,0.761689,0.103535,0.065995,-1.358184,-12.224022,3.054628,0.438731,5.362257,-0.016570,0.633419,-0.088289
0.340000,-1.406390,0.135778,0.025105,-0.038113,-1.725175,-0.009865,-0.010513,-0.202051,0.064074,0.453161,0.057683,-0.005858,0.003210,-0.196745,-2.199175,1.294903,3.688622,0.919357,0.117907,0.064677,-1.409075,-12.355086,3.170143,0.462359,5.458232,-0.017210,0.646677,-0.083770
0.350000,-1.406824,0.135922,0.026060,-0.037990,-1.725187,-0.009860,-0.010900,-0.224420,0.077772,0.491790,0.067698,-0.004618,0.003844,-0.211118,-2.269862,1.444851,4.041590,1.087930,0.127426,0.061723,-1.470931,-12.488564,3.287770,0.485662,5.552942,-0.017920,0.660783,-0.079353
0.360000,-1.408234,0.136423,0.029030,-0.037592,-1.725223,-0.009840,-0.012210,-0.247448,0.092971,0.533992,0.079442,-0.003309,0.004444,-0.226163,-2.332740,1.594681,4.394470,1.262855,0.131298,0.058589,-1.541962,-12.624559,3.407119,0.508375,5.645450,-0.018691,0.675768,-0.075108
0.370000,-1.410656,0.137387,0.034448,-0.036862,-1.725269,-0.009798,-0.014576,-0.271074,0.109665,0.579680,0.092955,-0.001992,0.005016,-0.241958,-2.390950,1.743614,4.729155,1.439073,0.129264,0.057223,-1.618704,-12.763079,3.527771,0.530204,5.734921,-0.019506,0.691640,-0.071055
0.380000,-1.410947,0.137508,0.035048,-0.036768,-1.725272,-0.009792,-0.014806,-0.295267,0.127843,0.628576,0.108224,-0.000724,0.005588,-0.258537,-2.448048,1.891214,5.026488,1.611364,0.121749,0.059960,-1.696248,-12.903991,3.649265,0.550834,5.820650,-0.020334,0.708378,-0.067170
0.390000,-1.413094,0.138457,0.039220,-0.035994,-1.725285,-0.009746,-0.016554,-0.320035,0.147490,0.680210,0.125182,0.000443,0.006215,-0.275882,-2.507709,2.037337,5.267699,1.774700,0.109965,0.069357,-1.768654,-13.046994,3.771088,0.569938,5.902082,-0.021139,0.725923,-0.063389
0.400000,-1.416165,0.139966,0.045803,-0.034684,-1.725293,-0.009668,-0.019257,-0.345422,0.168590,0.733930,0.143718,0.001475,0.006976,-0.293910,-2.573423,2.182062,5.435975,1.924597,0.095956,0.087982,-1.829521,-13.191603,3.892669,0.587188,5.978820,-0.021872,0.744172,-0.059620
0.410000,-1.416165,0.139966,0.045803,-0.034684,-1.725293,-0.009668,-0.019257,-0.371504,0.191131,0.788929,0.163674,0.002362,0.007975,-0.312473,-2.648202,2.325592,5.518018,2.057408,0.082561,0.118165,-1.872650,-13.337150,4.013385,0.602279,6.050617,-0.022482,0.762977,-0.055753
0.420000,-1.419237,0.141582,0.051564,-0.033298,-1.725270,-0.009574,-0.021605,-0.398386,0.215102,0.844290,0.184866,0.003127,0.009339,-0.331363,-2.734321,2.468157,5.505450,2.170542,0.073286,0.161742,-1.892731,-13.482803,4.132563,0.614942,6.117367,-0.022914,0.782145,-0.051672
0.430000,-1.421748,0.143001,0.057120,-0.032045,-1.725253,-0.009490,-0.023761,-0.426190,0.240494,0.899038,0.207085,0.003828,0.011210,-0.350328,-2.833137,2.609933,5.395876,2.262596,0.072089,0.219803,-1.885964,-13.627599,4.249504,0.624966,6.179084,-0.023116,0.801440,-0.047270
0.440000,-1.421748,0.143001,0.057120,-0.032045,-1.725253,-0.009490,-0.023761,-0.455048,0.267300,0.952207,0.230118,0.004568,0.013735,-0.369083,-2.944978,2.750967,5.193500,2.333394,0.083066,0.292492,-1.850557,-13.770493,4.363505,0.632216,6.235879,-0.023046,0.820596,-0.042458
0.450000,-1.425912,0.145465,0.065878,-0.029913,-1.725187,-0.009333,-0.027029,-0.485090,0.295513,1.002908,0.253753,0.005490,0.017059,-0.387339,-3.069128,2.891152,4.909189,2.383953,0.110076,0.378863,-1.787023,-13.910417,4.473885,0.636651,6.287941,-0.022674,0.839327,-0.037174
0.460000,-1.429498,0.147706,0.073333,-0.028000,-1.725100,-0.009185,-0.029850,-0.516431,0.325123,1.050391,0.277797,0.006770,0.021312,-0.404823,-3.203893,3.030219,4.559981,2.416376,0.156318,0.476842,-1.698265,-14.046340,4.580020,0.638332,6.335508,-0.021991,0.857344,-0.031393
0.470000,-1.429498,0.147706,0.073333,-0.028000,-1.725100,-0.009185,-0.029850,-0.549168,0.356118,1.094108,0.302080,0.008616,0.026596,-0.421304,-3.346739,3.167763,4.168087,2.433699,0.223895,0.583276,-1.589431,-14.177326,4.681369,0.637424,6.378850,-0.021009,0.874367,-0.025127
0.480000,-1.434582,0.151009,0.082490,-0.025246,-1.724960,-0.008956,-0.033451,-0.583366,0.388479,1.133753,0.326471,0.011248,0.032978,-0.436612,-3.494483,3.303295,3.759475,2.439700,0.313420,0.694107,-1.467556,-14.302581,4.777498,0.634198,6.418248,-0.019766,0.890149,-0.018426
0.490000,-1.438281,0.153508,0.089262,-0.023196,-1.724839,-0.008747,-0.036109,-0.619057,0.422184,1.169297,0.350875,0.014884,0.040478,-0.450655,-3.643516,3.436298,3.362129,2.438691,0.423713,0.804639,-1.341030,-14.421484,4.868096,0.629010,6.453975,-0.018328,0.904486,-0.011375
0.500000,-1.438281,0.153508,0.089262,-0.023196,-1.724839,-0.008747,-0.036109,-0.656236,0.457205,1.200996,0.375244,0.019722,0.049071,-0.463432,-3.790051,3.566290,3.004086,2.435277,0.551629,0.909876,-1.218922,-14.533604,4.952978,0.622287,6.486278,-0.016780,0.917235,-0.004088
0.510000,-1.445011,0.158211,0.100938,-0.019396,-1.724576,-0.008245,-0.040693,-0.694858,0.493509,1.229379,0.399580,0.025917,0.058676,-0.475034,-3.930361,3.692870,2.711337,2.434120,0.692078,1.004912,-1.110218,-14.638692,5.032074,0.614493,6.515362,-0.015225,0.928313,0.003304
0.520000,-1.448664,0.160831,0.107228,-0.017327,-1.724410,-0.007885,-0.043087,-0.734843,0.531062,1.255222,0.423927,0.033564,0.069169,-0.485637,-4.061011,3.815752,2.505694,2.439678,0.838244,1.085318,-1.023031,-14.736654,5.105412,0.606100,6.541368,-0.013778,0.937709,0.010661
0.530000,-1.450172,0.161930,0.109696,-0.016450,-1.724336,-0.007750,-0.044049,-0.776078,0.569824,1.279493,0.448374,0.042682,0.080382,-0.495494,-4.179061,3.934767,2.402787,2.455944,0.982026,1.147493,-0.963847,-14.827512,5.173082,0.597545,6.564360,-0.012550,0.945474,0.017847
0.540000,-1.457331,0.167275,0.122636,-0.012210,-1.724715,-0.006954,-0.048820,-0.818425,0.609757,1.303278,0.473046,0.053204,0.092119,-0.504914,-4.282231,4.049840,2.410349,2.486182,1.114668,1.188945,-0.936873,-14.911343,5.235199,0.589200,6.584302,-0.011640,0.951713,0.024738
0.550000,-1.460754,0.169843,0.128056,-0.010263,-1.724500,-0.006493,-0.050827,-0.861723,0.650821,1.327700,0.498097,0.064975,0.104161,-0.514232,-4.369020,4.160933,2.527009,2.532677,1.227536,1.208471,-0.943562,-14.988216,5.291856,0.581337,6.601053,-0.011128,0.956572,0.031233
0.560000,-1.462502,0.171178,0.130624,-0.009229,-1.724376,-0.006296,-0.051850,-0.905805,0.692976,1.353818,0.523699,0.077755,0.116288,-0.523785,-4.438765,4.267970,2.741797,2.596514,1.312944,1.206240,-0.982357,-15.058124,5.343077,0.574106,6.614350,-0.011060,0.960222,0.037257
0.570000,-1.471715,0.178413,0.146587,-0.003607,-1.724437,-0.005144,-0.057812,-0.950498,0.736181,1.382536,0.550028,0.091234,0.128286,-0.533879,-4.491647,4.370744,3.034536,2.677415,1.364968,1.183749,-1.048711,-15.120917,5.388773,0.567522,6.623810,-0.011446,0.962838,0.042763
0.580000,-1.474677,0.180727,0.150731,-0.001887,-1.724068,-0.004745,-0.059364,-0.995638,0.780391,1.414509,0.577248,0.105054,0.139963,-0.544759,-4.528626,4.468828,3.377204,2.773646,1.380125,1.143695,-1.135395,-15.176244,5.428704,0.561469,6.628934,-0.012256,0.964581,0.047733
0.590000,-1.478722,0.183933,0.155848,0.000527,-1.723655,-0.004268,-0.061524,-1.041071,0.825557,1.450080,0.605500,0.118837,0.151160,-0.556587,-4.551312,4.561489,3.736247,2.882034,1.357858,1.089740,-1.233083,-15.223512,5.462460,0.555717,6.629121,-0.013419,0.965584,0.052169
0.600000,-1.488294,0.191711,0.170341,0.006388,-1.723278,-0.002946,-0.067077,-1.086664,0.871621,1.489234,0.634888,0.132211,0.161758,-0.569421,-4.561782,4.647634,4.075665,2.998094,1.300774,1.026228,-1.331177,-15.261862,5.489443,0.549951,6.623693,-0.014834,0.965936,0.056086
